# Time X Y Z VX VY VZ Phi Theta Psi P Q R U1 U2 U3 U4
1.220000 -0.045217 0.020952 1.446114 -0.054970 0.024773 0.434942 0.000459 0.000920 0.123002 -0.001135 -0.002043 0.100000 4.947201 4.947656 4.947806 4.947351
1.230000 -0.045767 0.021200 1.450468 -0.055064 0.024806 0.435781 0.000449 0.000900 0.124002 -0.001110 -0.001997 0.100000 4.946792 4.947236 4.947382 4.946937
1.240000 -0.046319 0.021448 1.454830 -0.055157 0.024839 0.436611 0.000438 0.000880 0.125002 -0.001085 -0.001952 0.100000 4.946380 4.946815 4.946958 4.946523
1.250000 -0.046871 0.021697 1.459200 -0.055247 0.024870 0.437433 0.000429 0.000860 0.126002 -0.001060 -0.001908 0.100000 4.945968 4.946393 4.946533 4.946108
1.260000 -0.047423 0.021945 1.463578 -0.055335 0.024901 0.438247 0.000419 0.000841 0.127002 -0.001037 -0.001865 0.100000 4.945555 4.945971 4.946107 4.945691
1.270000 -0.047977 0.022195 1.467965 -0.055422 0.024931 0.439052 0.000410 0.000822 0.128002 -0.001013 -0.001824 0.100000 4.945141 4.945547 4.945680 4.945274
1.280000 -0.048532 0.022444 1.472359 -0.055506 0.024960 0.439848 0.000400 0.000803 0.129002 -0.000991 -0.001783 0.100000 4.944726 4.945123 4.945253 4.944856
1.290000 -0.049087 0.022694 1.476762 -0.055589 0.024989 0.440637 0.000391 0.000785 0.130002 -0.000968 -0.001743 0.100000 4.944310 4.944698 4.944825 4.944437
1.300000 -0.049644 0.022944 1.481172 -0.055669 0.025016 0.441417 0.000383 0.000768 0.131002 -0.000946 -0.001704 0.100000 4.943892 4.944272 4.944396 4.944017
1.310000 -0.050201 0.023194 1.485590 -0.055748 0.025044 0.442188 0.000374 0.000750 0.132002 -0.000925 -0.001665 0.100000 4.943474 4.943845 4.943966 4.943596
1.320000 -0.050759 0.023445 1.490016 -0.055826 0.025070 0.442951 0.000366 0.000734 0.133002 -0.000904 -0.001628 0.100000 4.943055 4.943417 4.943536 4.943174
1.330000 -0.051317 0.023695 1.494449 -0.055901 0.025096 0.443705 0.000357 0.000717 0.134002 -0.000884 -0.001591 0.100000 4.942635 4.942989 4.943105 4.942751
1.340000 -0.051877 0.023947 1.498890 -0.055975 0.025121 0.444451 0.000349 0.000701 0.135002 -0.000864 -0.001556 0.100000 4.942213 4.942560 4.942673 4.942327
1.350000 -0.052437 0.024198 1.503338 -0.056047 0.025145 0.445188 0.000341 0.000685 0.136002 -0.000845 -0.001521 0.100000 4.941791 4.942130 4.942241 4.941902
